Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Phytotherapist,Healthcare,Increasing,Low,PhD,5,2118,2010,76.05,91.51,Germany,71.07,30256.29
Audiological scientist,Retail,Decreasing,Low,Bachelor’s Degree,16,1227,7341,67.97,65.41,Germany,27.21,88156.3
Community arts worker,Finance,Increasing,High,Associate Degree,7,8448,388,5.43,66.53,UK,51.28,52140.51
Bonds trader,Retail,Decreasing,Low,Master’s Degree,4,4711,8284,56.04,84.92,China,40.29,136234.58
Stage manager,Retail,Increasing,High,Bachelor’s Degree,16,5134,6222,88.66,26.76,India,31.43,148100.19
Armed forces logistics/support/administrative officer,Retail,Decreasing,Moderate,Bachelor’s Degree,4,1607,2938,16.26,62.31,Germany,64.82,94148.01
Hotel manager,Entertainment,Increasing,High,PhD,19,5406,477,99.48,63.44,India,60.65,137814.32
Broadcast engineer,Finance,Decreasing,Low,PhD,0,7360,2334,85.8,50.44,China,25.12,132133.39
International aid/development worker,Transportation,Decreasing,Low,High School,12,5651,1945,91.16,73.8,Brazil,79.08,146849.46
"Scientist, forensic",Entertainment,Increasing,Low,Master’s Degree,0,5697,9112,75.95,27.03,Germany,23.41,116056.06
"Scientist, forensic",Entertainment,Increasing,Moderate,Associate Degree,2,9655,1452,65.71,94.79,UK,77.28,87651.56
Housing manager/officer,Manufacturing,Decreasing,Low,Bachelor’s Degree,5,5035,570,84.93,46.15,Canada,72.86,63991.35
Acupuncturist,Entertainment,Increasing,Moderate,High School,8,3537,3602,34.27,7.06,USA,59.61,94137.0
Psychiatrist,Entertainment,Increasing,Moderate,PhD,15,3291,4216,31.11,2.32,Canada,32.13,111176.8
Product manager,Retail,Increasing,High,High School,0,6168,9423,84.57,37.52,India,56.71,114653.7
Mental health nurse,Retail,Decreasing,High,High School,13,4830,7396,81.25,1.01,Brazil,77.01,75308.55
Public relations officer,Finance,Decreasing,Moderate,Bachelor’s Degree,14,4308,6799,4.65,74.91,India,60.27,30919.94
Control and instrumentation engineer,Healthcare,Decreasing,Moderate,Associate Degree,19,9173,4697,84.64,34.25,China,30.96,93964.08
"Doctor, general practice",Retail,Decreasing,Low,Associate Degree,11,8449,6531,73.24,12.99,USA,45.6,111420.63
"Psychotherapist, dance movement",Retail,Increasing,High,Associate Degree,18,6130,7945,30.68,99.14,Canada,34.32,42295.16
Herpetologist,Manufacturing,Decreasing,Moderate,Master’s Degree,4,8636,2716,45.6,50.07,Germany,47.95,144496.94
Chief Operating Officer,IT,Increasing,High,PhD,7,9064,6680,95.0,7.69,Germany,28.79,57029.6
Architectural technologist,Transportation,Decreasing,Low,High School,16,2682,4035,52.79,50.47,Brazil,72.01,99247.86
Personal assistant,Entertainment,Increasing,Moderate,Associate Degree,16,1137,2503,54.49,8.46,UK,41.06,71285.17
Amenity horticulturist,IT,Increasing,High,PhD,10,2628,5753,8.3,21.55,India,49.34,114706.1
Broadcast presenter,Entertainment,Increasing,High,High School,20,7595,1814,48.76,57.59,UK,47.5,74114.64
"Programmer, multimedia",Transportation,Decreasing,Moderate,Master’s Degree,9,3301,2320,29.69,97.03,UK,45.19,133520.56
Systems developer,Transportation,Decreasing,High,Master’s Degree,4,6947,3782,9.86,80.22,Australia,48.16,149449.59
Manufacturing systems engineer,IT,Increasing,High,High School,12,1156,746,67.21,84.77,Germany,47.78,93303.64
IT sales professional,Education,Increasing,High,Master’s Degree,19,3999,6063,56.45,36.29,Australia,45.76,99183.39
Print production planner,Manufacturing,Increasing,Moderate,High School,19,3407,9150,78.77,24.45,India,20.84,35249.38
"Scientist, marine",Entertainment,Decreasing,Low,High School,20,8677,8408,21.56,24.57,Australia,41.7,48666.6
"Editor, commissioning",Finance,Increasing,High,PhD,13,8057,8103,80.18,2.65,UK,32.57,93683.08
Professor Emeritus,Entertainment,Decreasing,High,Associate Degree,0,1156,270,12.55,13.57,Germany,36.52,36678.96
Purchasing manager,Finance,Increasing,Moderate,PhD,11,8066,1404,72.13,73.12,UK,75.89,54793.25
Warehouse manager,Healthcare,Decreasing,Moderate,High School,1,6796,9963,52.93,1.53,USA,73.27,101058.91
"Engineer, mining",Transportation,Decreasing,Low,Associate Degree,8,3617,8157,95.28,85.31,USA,68.0,106291.22
"Scientist, research (medical)",Healthcare,Decreasing,High,Master’s Degree,2,7540,4476,95.8,95.23,Australia,20.82,117975.93
Metallurgist,Healthcare,Increasing,Moderate,PhD,8,4167,1833,47.54,26.15,Canada,26.4,110353.5
Careers information officer,IT,Decreasing,Moderate,Associate Degree,7,4476,4278,92.16,73.03,Brazil,70.9,61663.78
Manufacturing systems engineer,IT,Increasing,Moderate,High School,18,3515,6830,56.27,61.68,Australia,58.04,31389.96
"Teacher, early years/pre",Entertainment,Increasing,Moderate,PhD,7,744,3797,82.98,20.8,USA,65.26,130599.5
Sports administrator,Entertainment,Increasing,Moderate,High School,20,8238,1182,7.48,36.94,Canada,62.3,93232.81
"Accountant, chartered management",Finance,Increasing,High,Master’s Degree,3,755,5523,33.49,37.21,USA,24.49,135087.44
Education administrator,Retail,Decreasing,Moderate,Master’s Degree,5,5742,9512,90.3,79.36,Brazil,69.84,93913.74
"Development worker, community",Manufacturing,Decreasing,High,Bachelor’s Degree,11,7355,9436,58.59,0.98,China,51.28,100325.74
"Engineer, aeronautical",Finance,Increasing,Low,PhD,19,2813,6473,89.18,63.02,India,20.16,95645.62
Sales executive,Entertainment,Decreasing,Moderate,Master’s Degree,13,4579,8370,89.23,70.53,USA,61.46,73228.75
Barrister's clerk,Education,Increasing,High,High School,7,3604,5163,79.33,91.39,Germany,65.18,42986.72
"Engineer, maintenance (IT)",Healthcare,Decreasing,Low,Bachelor’s Degree,5,5367,2972,57.91,50.43,Canada,49.95,45526.47
"Psychologist, clinical",Finance,Increasing,Moderate,High School,16,1285,792,82.1,85.69,India,74.19,52083.43
"Accountant, chartered certified",Retail,Increasing,Low,Master’s Degree,13,912,272,35.59,19.97,China,63.54,84676.97
"Optician, dispensing",Healthcare,Decreasing,Low,High School,6,8227,9020,38.73,23.78,Australia,32.92,97808.93
Insurance underwriter,Healthcare,Increasing,Moderate,Associate Degree,5,6484,8442,38.32,99.5,Canada,52.71,72391.31
"Engineer, electronics",Retail,Increasing,High,High School,5,2764,7394,80.27,29.32,India,60.53,111972.37
Magazine features editor,Entertainment,Increasing,High,Bachelor’s Degree,17,7292,3524,70.86,88.8,Canada,77.81,89629.49
Civil Service administrator,Entertainment,Increasing,Low,Associate Degree,20,3012,235,74.48,64.34,India,72.34,47992.15
Youth worker,Manufacturing,Increasing,High,Bachelor’s Degree,17,7697,8701,21.91,50.21,Germany,24.3,120878.12
Stage manager,Healthcare,Increasing,Moderate,Master’s Degree,2,4850,6189,50.71,31.98,Australia,50.01,112559.63
Primary school teacher,Retail,Increasing,Moderate,High School,8,3307,1303,87.41,59.78,Australia,33.94,85904.64
Printmaker,Finance,Decreasing,Low,PhD,9,6536,1074,88.46,47.68,Germany,61.92,142209.51
"Production designer, theatre/television/film",Healthcare,Decreasing,Moderate,High School,8,3280,9321,80.73,66.69,Australia,61.28,141328.34
"Administrator, arts",Transportation,Increasing,Low,Associate Degree,18,9442,5343,60.04,25.99,Germany,65.57,45992.55
"Engineer, biomedical",Manufacturing,Increasing,Low,Bachelor’s Degree,12,9430,2673,76.16,69.01,India,69.9,32633.67
"Administrator, local government",Healthcare,Decreasing,Moderate,PhD,3,7763,5008,38.08,50.46,China,29.3,103098.54
"Surveyor, insurance",Retail,Increasing,Moderate,High School,18,8983,1542,95.54,2.42,USA,26.38,130621.33
Air broker,Healthcare,Increasing,High,PhD,5,5814,1799,4.91,18.53,UK,20.96,110750.32
Chemical engineer,Education,Increasing,High,Master’s Degree,12,4586,3832,43.29,29.89,China,49.88,117864.46
Magazine journalist,Manufacturing,Decreasing,High,Bachelor’s Degree,11,3469,6641,48.82,42.82,Australia,47.84,46892.62
Tourist information centre manager,Manufacturing,Decreasing,Moderate,Bachelor’s Degree,7,9047,4303,19.42,3.4,Australia,44.9,142782.55
Associate Professor,Entertainment,Decreasing,Moderate,Associate Degree,19,9550,1775,15.59,97.74,Canada,73.23,109521.75
Health promotion specialist,Transportation,Decreasing,Moderate,PhD,17,8565,9268,37.18,70.74,USA,57.96,53711.73
"Education officer, community",Transportation,Decreasing,Moderate,PhD,0,5970,8483,43.96,30.84,Germany,73.23,50165.63
"Teacher, primary school",IT,Decreasing,Moderate,PhD,6,1858,9348,26.31,10.03,USA,22.39,132012.22
Psychiatric nurse,Transportation,Decreasing,High,Master’s Degree,1,853,954,44.02,4.2,UK,35.16,68145.51
Chartered public finance accountant,Healthcare,Increasing,Low,PhD,12,9403,1228,78.97,43.48,Australia,71.48,107034.34
"Presenter, broadcasting",Education,Increasing,Low,PhD,16,2586,2034,3.2,94.32,India,41.96,45149.26
Gaffer,Healthcare,Increasing,High,High School,13,5791,1955,75.85,52.39,Germany,42.38,48891.18
Medical laboratory scientific officer,Healthcare,Decreasing,Low,Associate Degree,16,6159,3467,48.27,52.23,UK,77.24,63437.39
Astronomer,Retail,Increasing,Moderate,High School,19,7444,9532,75.47,4.01,Germany,74.12,100789.94
Waste management officer,Finance,Increasing,Moderate,Bachelor’s Degree,3,6449,5221,55.17,41.8,UK,28.64,72192.98
Nutritional therapist,Education,Decreasing,Moderate,High School,4,9476,3743,55.77,82.6,UK,71.66,99143.4
"Designer, multimedia",Education,Increasing,Moderate,Bachelor’s Degree,12,2976,3155,24.17,67.14,Brazil,44.61,140767.8
Advertising copywriter,Healthcare,Increasing,Moderate,PhD,8,4224,5867,48.76,23.89,Australia,79.06,39578.12
Dancer,Transportation,Increasing,Moderate,Bachelor’s Degree,7,8376,6725,61.82,88.94,USA,79.78,43659.4
Forest/woodland manager,Manufacturing,Increasing,High,Associate Degree,16,354,4599,87.25,39.19,UK,72.33,87165.76
"Engineer, maintenance",IT,Decreasing,Low,Associate Degree,5,5422,6649,44.94,63.61,Brazil,29.44,38587.62
Music tutor,Education,Decreasing,Moderate,Master’s Degree,7,1135,6455,78.79,54.15,UK,54.51,46424.92
Hotel manager,Transportation,Decreasing,Moderate,Master’s Degree,1,6710,2673,45.53,28.86,China,43.18,109192.62
Acupuncturist,Healthcare,Decreasing,Low,PhD,15,6459,9318,55.38,14.35,Germany,41.67,45329.73
Hydrogeologist,Manufacturing,Increasing,Moderate,High School,16,4856,7380,17.0,71.77,Canada,58.8,147448.96
Occupational therapist,Retail,Increasing,Moderate,High School,8,1623,8449,30.05,90.45,India,20.73,81445.13
Clinical cytogeneticist,IT,Decreasing,Low,Associate Degree,4,9332,7823,19.98,41.4,India,47.69,102224.32
Research scientist (maths),Finance,Decreasing,Low,Master’s Degree,8,4847,5507,58.01,14.16,Canada,32.49,71304.65
"Surveyor, land/geomatics",Finance,Increasing,Low,Master’s Degree,12,8651,5021,89.97,14.84,India,61.25,71111.04
Media planner,Manufacturing,Decreasing,Low,PhD,16,2905,8002,8.6,93.23,UK,53.34,79753.75
Furniture designer,Manufacturing,Increasing,High,Bachelor’s Degree,19,3504,4111,14.69,22.91,Australia,74.67,144930.13
Commercial horticulturist,Entertainment,Decreasing,Moderate,Master’s Degree,4,1981,5114,17.86,66.44,India,48.39,147954.14
Logistics and distribution manager,Entertainment,Increasing,Low,Master’s Degree,2,8228,7977,85.28,68.97,UK,55.17,67135.18
Social worker,IT,Decreasing,High,PhD,18,2858,8559,15.73,39.65,China,44.34,132928.39
"Engineer, site",Entertainment,Decreasing,Moderate,Associate Degree,13,6283,3284,57.57,81.42,Canada,65.8,37252.34
Agricultural engineer,Manufacturing,Increasing,High,High School,9,1010,9184,4.08,5.08,USA,67.11,50658.63
Insurance broker,IT,Increasing,Moderate,Master’s Degree,4,2055,4021,85.53,4.72,Germany,35.76,52648.68
Medical illustrator,Retail,Increasing,High,Master’s Degree,15,664,2838,3.31,34.2,Australia,34.42,113781.62
Child psychotherapist,IT,Decreasing,High,Bachelor’s Degree,19,6848,6126,78.17,6.46,China,21.4,86255.49
Technical brewer,Healthcare,Increasing,High,High School,7,8410,3488,50.55,32.55,China,63.13,148675.9
Artist,Transportation,Decreasing,High,Master’s Degree,4,172,487,6.19,92.62,China,55.72,100231.66
Aeronautical engineer,Entertainment,Decreasing,Low,PhD,20,2932,7965,93.17,35.14,Germany,60.88,108890.69
"Therapist, sports",Retail,Decreasing,Low,Master’s Degree,3,7203,6875,77.04,4.0,Australia,30.02,139985.61
Environmental education officer,Entertainment,Increasing,Moderate,Master’s Degree,1,4234,5980,86.02,46.28,USA,41.61,86561.01
Archivist,Finance,Decreasing,High,Master’s Degree,7,2569,1514,83.28,83.87,Germany,52.41,33072.25
Minerals surveyor,Manufacturing,Decreasing,Moderate,Bachelor’s Degree,15,8080,7379,11.97,35.01,China,63.31,103587.85
Counselling psychologist,Transportation,Decreasing,Low,Associate Degree,20,4256,3100,78.15,25.89,China,34.39,70089.04
Radio producer,Manufacturing,Decreasing,Moderate,PhD,16,5485,5935,59.3,17.99,Germany,21.28,108395.61
Nutritional therapist,Education,Increasing,Moderate,Master’s Degree,10,3444,4682,10.4,40.68,Australia,43.4,135210.95
"Librarian, public",Transportation,Increasing,Low,PhD,1,1219,4937,50.56,78.91,Brazil,58.42,70218.12
"Psychotherapist, child",Retail,Increasing,High,High School,15,4587,1412,70.83,28.37,Brazil,21.35,76478.1
"Lecturer, higher education",Transportation,Decreasing,Moderate,Master’s Degree,19,655,9353,1.16,5.98,India,33.98,118871.25
"Journalist, broadcasting",Transportation,Increasing,High,Associate Degree,11,8739,6475,38.19,65.03,USA,68.87,97992.55
"Merchandiser, retail",Finance,Increasing,Moderate,Master’s Degree,7,4589,8132,67.94,70.59,Australia,32.63,33951.86
Health service manager,Manufacturing,Decreasing,Low,High School,5,1509,2129,60.64,57.6,UK,41.1,32738.87
Soil scientist,Healthcare,Decreasing,Moderate,Associate Degree,19,5800,9927,13.42,1.26,Brazil,54.35,46811.23
Research scientist (maths),Healthcare,Decreasing,Low,PhD,15,7558,374,51.46,78.36,India,62.37,41986.0
Financial adviser,Finance,Decreasing,Moderate,Bachelor’s Degree,4,6250,5934,9.09,41.97,Germany,79.92,109026.2
Waste management officer,Education,Decreasing,High,Master’s Degree,6,4101,2023,68.02,62.03,Australia,74.99,79144.31
Retail banker,IT,Increasing,Moderate,PhD,5,4253,8329,36.11,79.93,India,46.35,99496.96
Sports coach,Entertainment,Decreasing,Moderate,PhD,20,6637,3395,36.4,11.89,USA,38.73,137913.24
Mudlogger,Finance,Increasing,Moderate,Associate Degree,17,3073,7759,97.99,42.67,Australia,52.15,111464.28
Animator,Entertainment,Increasing,Low,Associate Degree,20,1693,829,96.16,46.21,India,32.72,81655.77
Automotive engineer,Transportation,Decreasing,Moderate,PhD,1,3183,7446,51.14,15.17,Australia,64.21,148279.77
"Librarian, public",Healthcare,Decreasing,Low,High School,11,2250,7544,82.71,67.09,China,70.93,51066.06
Neurosurgeon,Retail,Decreasing,Low,Master’s Degree,8,8511,358,34.0,77.98,China,58.23,48207.2
Best boy,Entertainment,Decreasing,Low,Associate Degree,9,3689,8242,3.83,29.16,Canada,27.95,80368.25
"Designer, jewellery",Manufacturing,Decreasing,High,Bachelor’s Degree,12,2441,9786,66.98,11.56,Brazil,22.44,80079.43
Film/video editor,IT,Decreasing,Low,PhD,3,2110,389,46.05,22.14,Germany,49.44,123199.76
"Merchandiser, retail",Retail,Increasing,Moderate,Bachelor’s Degree,2,9574,3830,70.4,82.7,Brazil,49.03,117281.43
Product manager,IT,Decreasing,Moderate,Associate Degree,16,4539,1987,1.59,80.42,Germany,33.38,86697.5
"Editor, film/video",Transportation,Decreasing,Low,High School,18,2577,6672,45.7,1.83,Germany,47.62,49164.17
Engineering geologist,Manufacturing,Decreasing,High,Master’s Degree,19,9111,1062,94.78,15.91,USA,20.0,75939.32
"Engineer, petroleum",Finance,Decreasing,Low,PhD,0,6702,6498,52.13,23.89,Australia,23.9,68187.8
Oncologist,Education,Increasing,Moderate,Associate Degree,11,6857,5013,47.7,76.75,Australia,32.91,130701.88
Osteopath,IT,Decreasing,Moderate,Associate Degree,6,6681,9121,83.74,32.02,China,50.52,61462.71
IT technical support officer,Transportation,Decreasing,High,Master’s Degree,17,7462,7685,47.46,98.26,USA,36.05,105069.3
Oncologist,Retail,Increasing,Low,Bachelor’s Degree,17,8494,9292,99.5,24.6,Brazil,34.34,99450.63
Forest/woodland manager,Manufacturing,Increasing,Moderate,Bachelor’s Degree,11,8772,7089,95.98,32.34,India,37.04,92565.19
Ambulance person,Education,Decreasing,Low,Associate Degree,8,4627,6828,37.55,36.64,India,75.43,55850.17
Marine scientist,Finance,Decreasing,Moderate,Associate Degree,16,1923,4478,74.52,58.22,Brazil,68.16,56150.35
Call centre manager,Transportation,Increasing,Moderate,Master’s Degree,6,3255,9490,60.15,17.09,USA,42.35,120636.65
Contractor,Manufacturing,Increasing,High,Associate Degree,10,6350,9720,71.02,64.05,Brazil,26.08,62942.13
"Engineer, automotive",Manufacturing,Decreasing,Low,Associate Degree,17,6489,3208,34.09,81.17,Canada,42.15,106586.68
Private music teacher,Finance,Decreasing,Moderate,High School,16,5959,3126,97.19,60.79,Brazil,32.85,85277.1
Automotive engineer,Finance,Decreasing,Low,High School,19,1892,7804,0.13,97.9,Canada,26.69,117371.5
"Engineer, electronics",Healthcare,Decreasing,Moderate,High School,1,1190,1881,52.83,85.0,USA,64.52,55127.69
Systems analyst,IT,Increasing,High,Associate Degree,12,6325,6249,5.9,50.12,Brazil,44.52,102015.19
Licensed conveyancer,Education,Increasing,Moderate,PhD,17,4887,9860,25.47,82.47,Canada,65.42,70043.08
Psychiatric nurse,Entertainment,Increasing,High,PhD,16,7742,376,89.18,26.63,UK,59.73,140786.82
"Research officer, political party",Finance,Increasing,Low,PhD,8,1345,5654,59.51,30.91,Germany,57.43,132367.63
"Therapist, drama",Transportation,Increasing,High,Associate Degree,8,9011,6190,53.05,8.05,Canada,53.02,147756.41
Logistics and distribution manager,IT,Increasing,Low,PhD,3,8927,8769,52.89,83.75,China,47.16,105347.46
Air broker,Healthcare,Increasing,High,High School,20,9899,2385,55.53,58.98,Germany,26.81,128856.22
Hotel manager,Retail,Increasing,High,High School,15,2602,7746,13.76,74.2,Brazil,73.71,114842.95
"Nurse, children's",Retail,Decreasing,Moderate,Master’s Degree,2,7327,6901,79.17,60.78,USA,54.08,123575.3
"Engineer, chemical",Retail,Increasing,Low,PhD,4,222,587,24.91,35.25,USA,21.3,55605.16
"Runner, broadcasting/film/video",Manufacturing,Decreasing,Low,High School,5,5579,3423,78.53,2.81,Germany,22.52,42097.67
Police officer,Finance,Decreasing,Moderate,Master’s Degree,20,1321,8839,43.59,36.18,India,21.15,110591.0
Recycling officer,Manufacturing,Decreasing,High,Master’s Degree,19,6729,7858,73.93,48.56,India,74.65,124803.57
Soil scientist,Manufacturing,Increasing,Moderate,High School,5,7740,2951,91.22,23.12,USA,47.05,104210.79
Chiropractor,Manufacturing,Increasing,High,High School,20,7585,1016,3.6,17.56,USA,56.19,98717.32
"Accountant, chartered public finance",Transportation,Decreasing,Low,High School,4,7404,4154,92.94,88.68,Australia,42.17,117972.16
Production manager,Transportation,Decreasing,Low,Bachelor’s Degree,13,833,7909,76.58,33.64,China,25.34,104443.0
Medical secretary,IT,Increasing,High,Bachelor’s Degree,14,4260,7680,17.58,66.32,Germany,28.11,115984.15
"Psychologist, sport and exercise",Transportation,Decreasing,Low,PhD,2,1012,708,78.84,8.44,Germany,32.43,90113.07
"Civil engineer, consulting",Manufacturing,Increasing,Moderate,PhD,17,7559,7363,68.42,21.29,Canada,60.64,89627.29
"Psychologist, prison and probation services",Transportation,Decreasing,Low,High School,1,3394,4002,52.11,69.04,UK,31.63,86615.72
Financial risk analyst,Retail,Increasing,Low,Bachelor’s Degree,1,3356,7093,79.42,29.06,Australia,37.31,115536.18
"Production assistant, television",Transportation,Decreasing,Moderate,PhD,9,4087,8053,24.86,87.59,China,28.89,108782.88
Chartered loss adjuster,Healthcare,Decreasing,Low,Associate Degree,18,5894,347,77.54,8.32,Canada,48.66,135559.17
Advertising copywriter,Healthcare,Decreasing,Low,High School,1,360,9289,19.63,63.98,Canada,52.89,42738.68
Clinical psychologist,IT,Decreasing,Moderate,Master’s Degree,11,2377,8708,16.58,34.0,UK,36.23,122797.22
Social researcher,Education,Decreasing,High,Master’s Degree,5,504,8480,97.17,5.1,UK,56.37,91847.41
Outdoor activities/education manager,Manufacturing,Decreasing,Low,Bachelor’s Degree,3,8604,8329,29.17,68.54,Canada,23.46,144900.56
Chartered legal executive (England and Wales),Manufacturing,Increasing,High,Bachelor’s Degree,19,1068,2962,58.94,34.14,China,29.19,31991.36
Amenity horticulturist,Retail,Increasing,Low,Master’s Degree,7,7289,9134,38.65,40.53,Brazil,38.61,34460.61
Lobbyist,Retail,Decreasing,High,Bachelor’s Degree,1,5160,8091,85.97,31.69,USA,70.54,99570.52
Tree surgeon,Retail,Decreasing,High,High School,18,1145,4372,63.38,68.08,Germany,57.62,82741.34
"Administrator, charities/voluntary organisations",Manufacturing,Increasing,Low,PhD,5,7475,3900,59.68,68.34,Canada,34.35,107478.9
Geochemist,Finance,Increasing,Low,Associate Degree,20,1119,9932,35.12,20.13,UK,51.72,76758.54
"Surveyor, insurance",Finance,Increasing,Low,PhD,5,8159,3087,50.47,4.2,USA,48.42,68234.55
Solicitor,Transportation,Decreasing,Moderate,Bachelor’s Degree,15,3094,7044,66.79,54.74,India,25.22,135321.43
Community development worker,IT,Decreasing,Moderate,Master’s Degree,6,8420,1216,75.15,54.66,Brazil,79.61,124543.82
Tourism officer,Retail,Increasing,High,Bachelor’s Degree,10,6761,1097,50.98,42.57,UK,59.52,107400.99
Dancer,Transportation,Decreasing,Moderate,Bachelor’s Degree,0,4963,2127,44.27,85.86,Australia,45.2,134145.29
Computer games developer,Retail,Decreasing,Moderate,PhD,12,3691,8903,89.99,31.4,USA,33.28,132342.95
Warehouse manager,Manufacturing,Decreasing,Moderate,PhD,5,881,3690,90.28,24.18,Australia,54.29,52177.02
Passenger transport manager,Healthcare,Increasing,Moderate,Bachelor’s Degree,7,5106,5915,91.58,94.08,Brazil,36.93,52428.38
Child psychotherapist,Entertainment,Increasing,Moderate,Associate Degree,0,5571,9051,82.99,8.55,Germany,49.95,52439.8
Actuary,Retail,Increasing,Low,Master’s Degree,3,7683,1116,65.37,12.71,Brazil,21.39,112643.04
Chief Operating Officer,Transportation,Increasing,High,Associate Degree,10,3215,6984,35.04,22.16,Germany,21.12,109042.57
Metallurgist,Retail,Decreasing,Low,Associate Degree,16,2496,4934,56.46,71.45,India,43.8,96992.78
Insurance underwriter,Entertainment,Increasing,Moderate,Associate Degree,9,6581,2369,97.44,95.95,Canada,33.51,104974.93
Records manager,Manufacturing,Decreasing,High,Associate Degree,13,7472,8438,64.78,89.82,Australia,40.33,68891.88
Geophysicist/field seismologist,Finance,Increasing,Moderate,High School,10,9983,764,29.52,28.93,UK,75.58,103855.52
"Development worker, international aid",IT,Increasing,Low,Bachelor’s Degree,1,4254,574,80.83,38.2,Brazil,73.27,109431.35
Animator,Retail,Increasing,Low,Associate Degree,0,6527,2396,72.18,51.25,Australia,51.7,113188.24
Commercial/residential surveyor,Education,Increasing,Moderate,Bachelor’s Degree,16,535,7777,28.99,96.06,UK,36.93,148727.86
Horticultural therapist,Retail,Increasing,High,PhD,9,983,7175,54.03,67.93,Canada,52.52,83918.63
"Librarian, academic",Finance,Increasing,Low,Bachelor’s Degree,3,3017,8865,79.28,62.61,UK,58.33,76607.54
"Teacher, early years/pre",Healthcare,Decreasing,Moderate,PhD,20,6596,1338,66.88,9.1,Australia,35.59,124645.16
Retail merchandiser,Entertainment,Increasing,High,Bachelor’s Degree,1,6806,6780,62.26,31.83,Brazil,69.75,39895.91
Financial trader,Entertainment,Increasing,High,High School,12,6935,8384,53.02,80.54,China,25.37,131075.33
"Scientist, forensic",Finance,Decreasing,Moderate,High School,17,867,2851,7.21,0.83,India,77.93,84513.45
Advertising account executive,Manufacturing,Increasing,Moderate,Master’s Degree,10,442,3901,95.35,69.75,Australia,53.72,96059.79
"Psychologist, clinical",Manufacturing,Decreasing,Moderate,Bachelor’s Degree,8,5937,2074,7.01,64.98,Canada,23.33,109983.59
Probation officer,Manufacturing,Decreasing,Low,Associate Degree,3,5149,7915,2.27,42.77,China,75.05,107970.27
Amenity horticulturist,Retail,Decreasing,Moderate,PhD,7,8295,2522,79.23,64.52,UK,34.88,52805.87
Research scientist (physical sciences),IT,Increasing,Low,Bachelor’s Degree,4,9171,8760,51.27,24.01,Brazil,42.22,67739.89
"Psychologist, counselling",Retail,Increasing,Moderate,Associate Degree,10,6563,4237,51.57,29.52,Canada,21.3,31050.92
Advertising account planner,Transportation,Increasing,Low,Master’s Degree,12,656,9100,17.13,54.68,China,67.3,30901.4
"Sound technician, broadcasting/film/video",Transportation,Increasing,High,High School,9,9981,8417,82.73,59.51,China,49.92,43794.17
Industrial buyer,Retail,Decreasing,Moderate,Associate Degree,11,2548,7560,94.8,44.68,USA,40.84,80071.11
Research scientist (medical),Transportation,Decreasing,Moderate,PhD,10,3399,112,82.46,33.53,Germany,46.33,101722.39
Charity officer,IT,Increasing,Moderate,Associate Degree,8,9475,5489,85.96,85.44,China,57.66,117483.38
Comptroller,Education,Increasing,Moderate,Associate Degree,9,1372,9498,76.94,35.95,China,58.9,138097.01
Human resources officer,Healthcare,Increasing,Moderate,High School,14,3496,1312,48.41,51.94,Australia,44.55,101075.34
Ecologist,Entertainment,Increasing,Low,Bachelor’s Degree,19,5326,1026,48.89,14.69,Germany,73.57,116864.95
Insurance broker,Manufacturing,Decreasing,Low,Master’s Degree,5,7199,8853,36.03,71.61,USA,44.49,62680.15
Charity officer,Healthcare,Increasing,High,Master’s Degree,2,7970,195,14.72,76.1,USA,44.94,99069.66
Dispensing optician,Finance,Decreasing,High,Bachelor’s Degree,17,2888,8067,33.5,41.35,UK,65.91,80423.92
Tourist information centre manager,Retail,Decreasing,Low,Master’s Degree,1,1481,8785,12.61,66.31,USA,21.87,134075.62
Clinical psychologist,Entertainment,Decreasing,Moderate,Master’s Degree,20,8051,8178,39.75,35.13,USA,20.84,58585.13
Administrator,Retail,Decreasing,High,Associate Degree,17,270,2605,10.75,56.3,Brazil,35.58,43948.01
Bonds trader,Healthcare,Decreasing,High,Associate Degree,11,2347,7800,83.61,37.33,USA,67.07,96316.84
"Therapist, speech and language",Entertainment,Increasing,Moderate,High School,7,1022,1000,8.87,10.13,Canada,48.51,53301.52
Fitness centre manager,IT,Decreasing,Moderate,Bachelor’s Degree,18,1368,273,61.3,20.85,Australia,38.45,32452.53
Sports therapist,Education,Decreasing,High,Master’s Degree,6,7747,4430,66.35,50.37,India,34.24,78301.3
Patent attorney,Entertainment,Increasing,High,Master’s Degree,16,7583,6023,21.83,59.41,Canada,70.47,110050.36
"Editor, magazine features",Finance,Decreasing,Low,Bachelor’s Degree,14,534,3929,57.39,22.67,India,64.72,66779.88
Financial controller,Education,Increasing,High,PhD,9,6373,9546,46.39,82.59,Brazil,76.77,56781.22
Art gallery manager,Retail,Increasing,Low,Master’s Degree,9,1408,2372,32.74,43.3,Canada,53.33,134754.11
Air cabin crew,Transportation,Decreasing,Low,Bachelor’s Degree,16,4273,6493,96.92,0.19,USA,64.55,107303.95
Public house manager,Finance,Decreasing,Low,Bachelor’s Degree,20,5581,2460,98.0,32.32,China,20.44,125921.33
Visual merchandiser,Healthcare,Decreasing,Low,Associate Degree,16,9919,1155,72.64,20.76,USA,59.38,37084.34
